Austria,20
Belgium,21
Bulgaria,20
Croatia,25
Cyprus,19
Czech Republic,21
Denmark,25
Estonia,20
Finland,24
France,20
Germany,19
Greece,24
Hungary,27
Ireland,23
Italy,22
Latvia,21
Lithuania,21
Luxembourg,17
Malta,18
Netherlands,21
Poland,23
Portugal,23
Romania,19
Slovakia,20
Slovenia,22
Spain,21
Malta,18
Sweden,25
Albania,20
Algeria,19
Andorra,4.5
Angola,7
Antigua and Barbuda,15
Argentina,21
Armenia,20
Australia,10
Azerbaijan,18
Bahamas,12
Bahrain,10
Bangladesh,15
Barbados,17.5
Belarus,20
Belize,12.5
Benin,18
Bolivia,13
Bosnia and Herzegovina,17
Botswana,12
Brazil,20
Burkina Faso,18
Burundi,18
Cambodia,10
Cameroon,19.3
Canada,5
Cape Verde,15
Central African Republic,19
Chad,18
Chile,19
China,13
Colombia,19
Costa Rica,13
Democratic Republic of the Congo,16
Dominica,15
Dominican Republic,18
Ecuador,12
Egypt,14
El Salvador,13
Equatorial Guinea,15
Ethiopia,15
Faroe Islands,25
Fiji,15
Gabon,18
Gambia,15
Georgia,18
Ghana,15
Grenada,15
Guatemala,12
Guinea,18
Guinea-Bissau,15
Guyana,16
Haiti,10
Honduras,15
Iceland,24
India,5.5
Indonesia,11
Iran,9
Isle of Man,20
Israel,17
Ivory Coast,18
Jamaica,12.5
Japan,10
Jersey,5
Jordan,16
Kazakhstan,12
Kenya,16
Kyrgyzstan,20
Laos,10
Lebanon,11
Lesotho,14
Liechtenstein,7.7
Madagascar,20
Malawi,16.5
Malaysia,6
Maldives,6
Mali,18
Mauritania,14
Mauritius,15
Mexico,16
Moldova,20
Monaco,19.6
Mongolia,10
Montenegro,21
Morocco,20
Mozambique,17
Namibia,15
Nepal,13
New Zealand,15
Nicaragua,15
Niger,19
Nigeria,7.5
Niue,5
North Macedonia,18
Norway,25
Pakistan,17
Palestine,16
Panama,7
Papua New Guinea,10
Paraguay,10
Peru,18
Philippines,12
Republic of Congo,16
Russia,20
Rwanda,18
Saint Kitts and Nevis,17
Saint Vincent and the Grenadines,15
Samoa,15
Saudi Arabia,15
Senegal,18
Serbia,20
Seychelles,15
Sierra Leone,15
Singapore,7
South Africa,15
South Korea,10
Sri Lanka,12
Sudan,17
Switzerland,7.7
Taiwan,5
Tajikistan,20
Tanzania,18
Thailand,10
Togo,18
Tonga,15
Trinidad and Tobago,12.5
Tunisia,18
Turkey,18
Turkmenistan,15
Uganda,18
Ukraine,20
United Arab Emirates,5
United Kingdom,20
Uruguay,22
Uzbekistan,20
Vanuatu,13
Vietnam,10
Venezuela,12
Zambia,16
Zimbabwe,15